date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:31:09	106594/106594	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2004:11:06%20GMT	https://admin.pixelstrap.net/admiro/template/index.html	C:/My%20Web%20Sites/admin/admin.pixelstrap.net/admiro/template/index.html	(from )
11:31:09	796/796	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Sep%202024%2006:01:08%20GMT	https://admin.pixelstrap.net/robots.txt		(from )
11:31:09	470/470	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Jan%202024%2000:15:04%20GMT	https://admin.pixelstrap.net/admiro/assets/images/favicon.png	C:/My%20Web%20Sites/admin/admin.pixelstrap.net/admiro/assets/images/favicon.png	(from https://admin.pixelstrap.net/admiro/template/index.html)
11:31:09	38229/38229	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Oct%202023%2004:17:04%20GMT	https://admin.pixelstrap.net/admiro/assets/css/vendors/flag-icon.css	C:/My%20Web%20Sites/admin/admin.pixelstrap.net/admiro/assets/css/vendors/flag-icon.css	(from https://admin.pixelstrap.net/admiro/template/index.html)
11:31:10	7703/7703	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Oct%202023%2004:17:04%20GMT	https://admin.pixelstrap.net/admiro/assets/css/iconly-icon.css	C:/My%20Web%20Sites/admin/admin.pixelstrap.net/admiro/assets/css/iconly-icon.css	(from https://admin.pixelstrap.net/admiro/template/index.html)
11:31:10	19535/19535	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Oct%202023%2004:17:04%20GMT	https://admin.pixelstrap.net/admiro/assets/css/bulk-style.css	C:/My%20Web%20Sites/admin/admin.pixelstrap.net/admiro/assets/css/bulk-style.css	(from https://admin.pixelstrap.net/admiro/template/index.html)
11:31:10	22971/22971	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Oct%202023%2004:17:04%20GMT	https://admin.pixelstrap.net/admiro/assets/css/themify.css	C:/My%20Web%20Sites/admin/admin.pixelstrap.net/admiro/assets/css/themify.css	(from https://admin.pixelstrap.net/admiro/template/index.html)
11:31:10	134993/134993	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Oct%202023%2004:17:04%20GMT	https://admin.pixelstrap.net/admiro/assets/css/fontawesome-min.css	C:/My%20Web%20Sites/admin/admin.pixelstrap.net/admiro/assets/css/fontawesome-min.css	(from https://admin.pixelstrap.net/admiro/template/index.html)
11:31:11	15085/15085	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Jan%202024%2005:53:37%20GMT	https://admin.pixelstrap.net/admiro/assets/css/vendors/weather-icons/weather-icons.min.css	C:/My%20Web%20Sites/admin/admin.pixelstrap.net/admiro/assets/css/vendors/weather-icons/weather-icons.min.css	(from https://admin.pixelstrap.net/admiro/template/index.html)
11:31:11	4309/4309	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20Jan%202024%2003:41:20%20GMT	https://admin.pixelstrap.net/admiro/assets/css/vendors/scrollbar.css	C:/My%20Web%20Sites/admin/admin.pixelstrap.net/admiro/assets/css/vendors/scrollbar.css	(from https://admin.pixelstrap.net/admiro/template/index.html)
11:31:11	4574/4574	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Nov%202023%2005:27:14%20GMT	https://admin.pixelstrap.net/admiro/assets/css/vendors/slick.css	C:/My%20Web%20Sites/admin/admin.pixelstrap.net/admiro/assets/css/vendors/slick.css	(from https://admin.pixelstrap.net/admiro/template/index.html)
11:31:11	3044/3044	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Nov%202023%2005:27:15%20GMT	https://admin.pixelstrap.net/admiro/assets/css/vendors/slick-theme.css	C:/My%20Web%20Sites/admin/admin.pixelstrap.net/admiro/assets/css/vendors/slick-theme.css	(from https://admin.pixelstrap.net/admiro/template/index.html)
